timestamp,amount,price,symbol,slippage_pct
2018-01-23 09:16:00+05:30,-6.0,1082.0,TATAELXSI,0.0009233610341643582
2018-01-23 09:16:00+05:30,1.0,4712.05,BRITANNIA,0.001434552525875077
2018-01-23 10:16:00+05:30,-45.0,197.55,ADANIENT,0.0022727272727272154
2018-01-23 10:16:00+05:30,9.0,1074.6,TATAELXSI,-0.0003255965393740513
2018-01-23 10:16:00+05:30,-1.0,4723.25,BRITANNIA,7.409602845295194e-05
2018-01-23 11:16:00+05:30,-11.0,199.6,ADANIENT,-0.0007520681875156966
2018-01-23 11:16:00+05:30,-5.0,1084.0,TATAELXSI,0.006006143688964243
2018-01-23 11:17:00+05:30,2.0,4735.2,BRITANNIA,-0.00010558101231074604
2018-01-23 12:16:00+05:30,2.0,199.3,ADANIENT,0.0002509410288582754
2018-01-23 12:16:00+05:30,1.0,1088.5,TATAELXSI,0.00041358393456187263
2018-01-23 13:16:00+05:30,7.0,1083.7,TATAELXSI,0.001386065422287932
2018-01-23 13:17:00+05:30,-38.0,198.39736842105265,ADANIENT,-0.0012483897100814608
2018-01-23 14:16:00+05:30,-1.0,4726.05,BRITANNIA,-0.0010484844633665497
2018-01-23 14:18:00+05:30,51.0,198.62352941176468,ADANIENT,0.0006223144169505229
2018-01-23 14:18:00+05:30,-6.0,1081.3,TATAELXSI,-0.0008793446568242195
2018-01-24 09:16:00+05:30,-27.0,1071.85,TATAELXSI,0.005705009276437932
2018-01-24 09:18:00+05:30,-7.0,4723.757142857144,BRITANNIA,0.0008868234949303939
2018-01-24 10:16:00+05:30,28.0,200.55,ADANIENT,-0.0014936519790887874
2018-01-24 10:16:00+05:30,12.0,1105.7,TATAELXSI,0.0015398550724638094
2018-01-24 10:18:00+05:30,9.0,4711.883333333333,BRITANNIA,0.0008248371566128318
2018-01-24 11:16:00+05:30,-10.0,201.1,ADANIENT,0.0
2018-01-24 11:16:00+05:30,-1.0,1109.9,TATAELXSI,-0.0007213055630693192
2018-01-24 11:21:00+05:30,1.0,4713.0,BRITANNIA,0.001104549895917375
2018-01-24 12:16:00+05:30,-39.0,201.05,ADANIENT,-0.0017438963627305567
2018-01-24 12:16:00+05:30,2.0,1113.95,TATAELXSI,0.0014834127483593375
2018-01-24 12:17:00+05:30,1.0,4710.0,BRITANNIA,0.0
2018-01-24 13:16:00+05:30,48.0,201.44999999999996,ADANIENT,-0.00024813895781657466
2018-01-24 13:16:00+05:30,-4.0,1113.2,TATAELXSI,-0.0011691698893785002
2018-01-24 14:16:00+05:30,107.0,203.6,ADANIENT,0.0002456398919183638
2018-01-24 14:16:00+05:30,-8.0,1110.85,TATAELXSI,-0.0008108473354654386
2018-01-24 15:01:00+05:30,-227.0,4716.872026431717,BRITANNIA,-0.002225060860045363
2018-01-25 09:16:00+05:30,129.0,203.55,ADANIENT,-0.005375030539946222
2018-01-25 09:16:00+05:30,-4.0,1093.1,TATAELXSI,-0.00018299935950207529
2018-01-25 10:16:00+05:30,-114.0,204.15,ADANIENT,-0.001471670345842587
2018-01-25 10:16:00+05:30,3.0,1110.0,TATAELXSI,0.0009017132551848512
2018-01-25 11:16:00+05:30,15.0,203.3,ADANIENT,0.00024600246002465617
2018-01-25 11:16:00+05:30,3.0,1099.25,TATAELXSI,0.0
2018-01-25 12:17:00+05:30,217.0,207.82304147465442,ADANIENT,0.0010743808991060823
2018-01-25 12:18:00+05:30,-20.0,1097.3600000000001,TATAELXSI,0.0010377787892579633
2018-01-25 13:16:00+05:30,-18.0,1100.5,TATAELXSI,0.00018170255292090985
2018-01-25 13:22:00+05:30,4934.0,211.32084515606,ADANIENT,-0.001319257296502864
2018-01-25 14:16:00+05:30,2.0,1098.2,TATAELXSI,-0.0003186017932728679
2018-01-25 14:53:00+05:30,-217.0,4635.68133640553,BRITANNIA,-0.0008163683165720451
2018-01-29 09:16:00+05:30,6.0,1094.6,TATAELXSI,0.00685278020512332
2018-01-29 10:16:00+05:30,-4.0,1113.95,TATAELXSI,4.4883303411090235e-05
2018-01-29 11:16:00+05:30,1.0,1111.5,TATAELXSI,-0.0005844535359439742
2018-01-29 11:24:00+05:30,217.0,4619.1663594470065,BRITANNIA,-0.0008400602530783164
2018-01-31 15:03:00+05:30,-919.0,1058.1558215451582,TATAELXSI,-0.004038164479702193
2018-02-01 09:23:00+05:30,4581.0,213.75061122025758,ADANIENT,0.0058852292718003865
2018-02-01 10:16:00+05:30,-26.0,213.5,ADANIENT,0.000935891436593302
2018-02-01 11:16:00+05:30,-1.0,214.05,ADANIENT,0.0011665888940737283
2018-02-01 12:16:00+05:30,2.0,209.7,ADANIENT,-0.0052182163187856866
2018-02-01 13:16:00+05:30,-1.0,212.55,ADANIENT,-0.001885458402074031
2018-02-01 14:16:00+05:30,-1.0,215.65,ADANIENT,-0.001160631383472609
