date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-02-01 00:00:00+05:30,992567.7500,10619.0500,981948.7000,982901.0300,1000000.0000,0.0000,-952.3300,-6479.9200,-7432.2500,992567.7500,0.0000,0.0000,-957.8000,0.9900,0.9900,981948.7000,981948.7000,981948.7000,0.0000,2,0,-0.0010,-0.0074,0.2968,-0.1196,,,1056376.9776,-0.0009,,
2018-02-02 00:00:00+05:30,974779.1000,2826421.5000,-1851642.4000,-1893841.9400,1000000.0000,0.0000,42199.5400,-67420.4400,-25220.9000,974779.1000,0.0000,0.0000,-17788.6500,1.9000,-1.9000,1851642.4000,-1851642.4000,0.0000,1851642.4000,0,2,-0.0179,-0.0252,0.2963,-0.1354,,,1029240.4948,-0.0257,,
2018-02-05 00:00:00+05:30,934656.3500,3879433.7500,-2944777.4000,-2944590.9200,1000000.0000,0.0000,-186.4800,-65157.1700,-65343.6500,934656.3500,0.0000,0.0000,-40122.7500,3.1500,-3.1500,2944777.4000,-2944777.4000,0.0000,2944777.4000,0,3,-0.0412,-0.0653,0.3184,-0.1710,,,1024759.2847,-0.0044,,
2018-02-06 00:00:00+05:30,1018755.0000,3938038.3000,-2919283.3000,-2986245.4400,1000000.0000,0.0000,66962.1400,-48207.1400,18755.0000,1018755.0000,0.0000,0.0000,84098.6500,2.8700,-2.8700,2919283.3000,-2919283.3000,0.0000,2919283.3000,0,3,0.0900,0.0188,0.4195,-0.0964,,,1008425.6335,-0.0159,,
2018-02-07 00:00:00+05:30,1009739.0500,3877480.6500,-2867741.6000,-2924192.8200,1000000.0000,0.0000,56451.2200,-46712.1700,9739.0500,1009739.0500,0.0000,0.0000,-9015.9500,2.8400,-2.8400,2867741.6000,-2867741.6000,0.0000,2867741.6000,0,3,-0.0088,0.0097,0.4125,-0.1044,,,1002592.8713,-0.0058,,
2018-02-08 00:00:00+05:30,934675.1000,934675.1000,0.0000,0.0000,1000000.0000,0.0000,0.0000,-65324.9000,-65324.9000,934675.1000,0.0000,0.0000,-75063.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0743,-0.0653,0.4623,-0.1710,,,1014076.2716,0.0115,,
2018-02-09 00:00:00+05:30,934675.1000,934675.1000,0.0000,0.0000,1000000.0000,0.0000,0.0000,-65324.9000,-65324.9000,934675.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.0653,0.4543,-0.1710,,,1003292.6110,-0.0106,,
2018-02-12 00:00:00+05:30,926439.6000,9128.9000,917310.7000,925524.0800,1000000.0000,0.0000,-8213.3800,-65347.0200,-73560.4000,926439.6000,0.0000,0.0000,-8235.5000,0.9900,0.9900,917310.7000,917310.7000,917310.7000,0.0000,2,0,-0.0088,-0.0736,0.4474,-0.1783,,,1009839.4912,0.0065,,
2018-02-14 00:00:00+05:30,932789.6000,299.3000,932490.3000,934362.3700,1000000.0000,0.0000,-1872.0700,-65338.3300,-67210.4000,932789.6000,0.0000,0.0000,6350.0000,1.0000,1.0000,932490.3000,932490.3000,932490.3000,0.0000,3,0,0.0069,-0.0672,0.4406,-0.1726,,,1002621.6277,-0.0071,,
2018-02-15 00:00:00+05:30,911695.5500,626536.7500,285158.8000,286765.2000,1000000.0000,0.0000,-1606.4000,-86698.0500,-88304.4500,911695.5500,0.0000,0.0000,-21094.0500,0.3100,0.3100,285158.8000,285158.8000,285158.8000,0.0000,1,0,-0.0226,-0.0883,0.4383,-0.1914,,,1011238.9707,0.0086,,
2018-02-16 00:00:00+05:30,897719.6500,18475.6500,879244.0000,894811.2300,1000000.0000,0.0000,-15567.2300,-86713.1200,-102280.3500,897719.6500,0.0000,0.0000,-13975.9000,0.9800,0.9800,879244.0000,879244.0000,879244.0000,0.0000,1,0,-0.0153,-0.1023,0.4337,-0.2038,,,1001859.5824,-0.0093,,
2018-02-19 00:00:00+05:30,887412.5500,1763508.5500,-876096.0000,-873154.3000,1000000.0000,0.0000,-2941.7000,-109645.7500,-112587.4500,887412.5500,0.0000,0.0000,-10307.1000,0.9900,-0.9900,876096.0000,-876096.0000,0.0000,876096.0000,0,1,-0.0115,-0.1126,0.4284,-0.2129,,,995734.4631,-0.0061,,
2018-02-20 00:00:00+05:30,907024.4500,1780447.3500,-873422.9000,-889456.5900,1000000.0000,0.0000,16033.6900,-109009.2400,-92975.5500,907024.4500,0.0000,0.0000,19611.9000,0.9600,-0.9600,873422.9000,-873422.9000,0.0000,873422.9000,0,1,0.0221,-0.0930,0.4264,-0.1955,,,992830.0639,-0.0029,,
2018-02-21 00:00:00+05:30,909365.5500,1810816.7500,-901451.2000,-919737.3400,1000000.0000,0.0000,18286.1400,-108920.5900,-90634.4500,909365.5500,0.0000,0.0000,2341.1000,0.9900,-0.9900,901451.2000,-901451.2000,0.0000,901451.2000,0,1,0.0026,-0.0906,0.4205,-0.1934,,,996424.6174,0.0036,,
2018-02-22 00:00:00+05:30,894614.6000,24710.2000,869904.4000,867326.6800,1000000.0000,0.0000,2577.7200,-107963.1200,-105385.4000,894614.6000,0.0000,0.0000,-14750.9500,2.9500,0.9700,2642650.9000,869904.4000,1756277.6500,886373.2500,2,1,-0.0162,-0.1054,0.4169,-0.2065,,,994761.5373,-0.0017,,
2018-02-23 00:00:00+05:30,924224.7500,20095.7500,904129.0000,871890.8700,1000000.0000,0.0000,32238.1300,-108013.3800,-75775.2500,924224.7500,0.0000,0.0000,29610.1500,2.9200,0.9800,2697185.0000,904129.0000,1800657.0000,896528.0000,2,1,0.0331,-0.0758,0.4201,-0.1802,,,1005760.8711,0.0111,,
2018-02-26 00:00:00+05:30,944489.5000,3652.8500,940836.6500,888553.2500,1000000.0000,0.0000,52283.4000,-107793.9000,-55510.5000,944489.5000,0.0000,0.0000,20264.7500,2.9200,1.0000,2754046.2500,940836.6500,1847441.4500,906604.8000,2,1,0.0219,-0.0555,0.4184,-0.1623,,,1013827.0493,0.0080,,
