,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2018-01-04 13:16:00+05:30,2018-01-09 13:22:00+05:30,TATAELXSI,21.0,999.91,1002.89,True,62.58000000000038,0.0029802682241401907,5 days 00:06:00,0.09930373428995592
1,2018-01-11 13:16:00+05:30,2018-01-12 13:16:00+05:30,BRITANNIA,4.0,4729.51,4673.1,True,-225.63999999999942,-0.011927239819769881,1 days 00:00:00,5.807280955055551e-05
2,2018-01-03 12:16:00+05:30,2018-01-12 14:51:00+05:30,ADANIENT,5494.0,178.73,197.26,True,101803.82,0.10367593576903711,9 days 02:35:00,-0.0002048202750649873
3,2018-01-15 12:16:00+05:30,2018-01-16 11:28:00+05:30,BRITANNIA,150.0,4733.52,4652.13,True,-12208.50000000005,-0.01719439233382352,0 days 23:12:00,-0.011270104341586538
4,2018-01-17 10:16:00+05:30,2018-01-17 11:52:00+05:30,ADANIENT,5508.0,196.25,192.49,False,-20710.07999999995,-0.019159235668789763,0 days 01:36:00,-0.0073689136670866745
5,2018-01-15 12:16:00+05:30,2018-01-19 13:51:00+05:30,TATAELXSI,1034.0,1051.76,1044.04,True,-7982.480000000029,-0.007340077584239776,4 days 01:35:00,-0.01938918407894799
6,2018-01-18 14:16:00+05:30,2018-01-19 14:22:00+05:30,ADANIENT,5468.0,197.32,196.35,False,-5303.959999999994,-0.004915872694100947,1 days 00:06:00,-0.004989701372493371
7,2018-01-19 11:19:00+05:30,2018-01-24 15:01:00+05:30,BRITANNIA,239.0,4653.04,4716.43,True,15150.21000000008,0.01362335161528814,5 days 03:42:00,
8,2018-01-22 14:16:00+05:30,2018-01-25 13:22:00+05:30,ADANIENT,5562.0,210.51,197.6,False,-71805.41999999998,-0.0613272528620968,2 days 23:06:00,-0.06873712532598608
9,2018-01-25 14:16:00+05:30,2018-01-29 11:24:00+05:30,BRITANNIA,217.0,4619.17,4635.68,False,3582.6700000000474,0.003574235198098407,3 days 21:08:00,-0.008472331231265721
10,2018-01-22 11:16:00+05:30,2018-01-31 15:03:00+05:30,TATAELXSI,1022.0,1070.13,1061.47,True,-8850.520000000084,-0.008092474746058967,9 days 03:47:00,
11,2018-02-01 14:16:00+05:30,2018-02-02 10:16:00+05:30,BRITANNIA,2.0,4744.4,4681.65,True,-125.5,-0.013226119214231516,0 days 20:00:00,-0.00012874711819323988
12,2018-02-01 09:16:00+05:30,2018-02-02 10:18:00+05:30,ADANIENT,4583.0,213.75,200.48,True,-60816.41000000005,-0.06208187134502929,1 days 01:02:00,-0.06238994044907205
13,2018-02-02 13:16:00+05:30,2018-02-08 10:35:00+05:30,ADANIENT,6781.0,198.12,198.54,False,2848.0199999999154,0.0021199273167776477,5 days 21:19:00,
14,2018-02-02 11:16:00+05:30,2018-02-08 11:02:00+05:30,TATAELXSI,1360.0,994.89,995.67,False,1060.799999999963,0.0007840062720501491,5 days 23:46:00,
15,2018-02-05 12:16:00+05:30,2018-02-08 12:53:00+05:30,BRITANNIA,271.0,4594.73,4587.84,False,-1867.1899999998423,-0.0014995440428489638,3 days 00:37:00,-0.0018328155444634305
16,2018-02-12 14:16:00+05:30,2018-02-15 10:17:00+05:30,BRITANNIA,2.0,4778.4,4726.9,True,-103.0,-0.010777666164406497,2 days 20:01:00,
17,2018-02-12 13:16:00+05:30,2018-02-15 14:47:00+05:30,ADANIENT,4213.0,218.56,213.51,True,-21275.65000000005,-0.02310578330893124,3 days 01:31:00,
