date,ADANIENT,TATAELXSI,BRITANNIA
2018-06-29 15:35:00+05:30,,,155.0
2018-07-02 15:35:00+05:30,-9758.0,,
2018-07-03 15:35:00+05:30,,,
2018-07-04 15:35:00+05:30,-8814.0,-688.0,148.0
2018-07-05 15:35:00+05:30,-8798.0,-692.0,148.0
2018-07-06 15:35:00+05:30,,,140.0
2018-07-09 15:35:00+05:30,,,140.0
2018-07-10 15:35:00+05:30,174.0,2.0,140.0
2018-07-11 15:35:00+05:30,5991.0,97.0,
2018-07-12 15:35:00+05:30,7199.0,,-138.0
2018-07-13 15:35:00+05:30,7135.0,,
2018-07-16 15:35:00+05:30,7132.0,,
2018-07-17 15:35:00+05:30,7125.0,-701.0,
2018-07-18 15:35:00+05:30,7036.0,,-155.0
2018-07-19 15:35:00+05:30,7016.0,-761.0,-164.0
2018-07-20 15:35:00+05:30,6896.0,,-177.0
2018-07-23 15:35:00+05:30,6834.0,-837.0,
2018-07-24 15:35:00+05:30,6796.0,,
2018-07-25 15:35:00+05:30,6423.0,,
2018-07-26 15:35:00+05:30,6426.0,,3.0
2018-07-27 15:35:00+05:30,6437.0,,
2018-07-30 15:35:00+05:30,,,-197.0
2018-07-31 15:35:00+05:30,,,
2018-08-01 15:35:00+05:30,,,
2018-08-02 15:35:00+05:30,,,
2018-08-03 15:35:00+05:30,6021.0,,
2018-08-06 15:35:00+05:30,6022.0,,-189.0
2018-08-07 15:35:00+05:30,,-847.0,-188.0
2018-08-08 15:35:00+05:30,,,-181.0
2018-08-09 15:35:00+05:30,,,
2018-08-10 15:35:00+05:30,,,
2018-08-13 15:35:00+05:30,-5595.0,777.0,
2018-08-14 15:35:00+05:30,,776.0,
2018-08-16 15:35:00+05:30,,776.0,
2018-08-17 15:35:00+05:30,44.0,776.0,2.0
2018-08-20 15:35:00+05:30,4685.0,,26.0
2018-08-21 15:35:00+05:30,4685.0,,26.0
2018-08-23 15:35:00+05:30,,,163.0
2018-08-24 15:35:00+05:30,,-781.0,
2018-08-27 15:35:00+05:30,,,
2018-08-28 15:35:00+05:30,,,161.0
2018-08-29 15:35:00+05:30,4836.0,-792.0,
2018-08-30 15:35:00+05:30,4753.0,,-162.0
2018-08-31 15:35:00+05:30,4721.0,,
2018-09-03 15:35:00+05:30,,706.0,
2018-09-04 15:35:00+05:30,,721.0,-162.0
2018-09-05 15:35:00+05:30,,,-174.0
2018-09-06 15:35:00+05:30,-5422.0,-669.0,-146.0
2018-09-07 15:35:00+05:30,-5919.0,,-150.0
2018-09-10 15:35:00+05:30,-6465.0,,-161.0
2018-09-11 15:35:00+05:30,-6972.0,-779.0,-172.0
2018-09-12 15:35:00+05:30,-7129.0,,
2018-09-14 15:35:00+05:30,-6841.0,,
2018-09-17 15:35:00+05:30,,725.0,
2018-09-18 15:35:00+05:30,,,
2018-09-19 15:35:00+05:30,,,
2018-09-21 15:35:00+05:30,,,-167.0
2018-09-24 15:35:00+05:30,-7419.0,-783.0,-177.0
2018-09-25 15:35:00+05:30,,-809.0,-174.0
2018-09-26 15:35:00+05:30,-7461.0,-849.0,-177.0
2018-09-27 15:35:00+05:30,,-813.0,-169.0
2018-09-28 15:35:00+05:30,-7939.0,-887.0,
2018-10-01 15:35:00+05:30,-7471.0,-878.0,-175.0
2018-10-03 15:35:00+05:30,-6509.0,,-157.0
2018-10-04 15:35:00+05:30,,,-178.0
2018-10-05 15:35:00+05:30,,,-183.0
2018-10-08 15:35:00+05:30,,-943.0,
2018-10-09 15:35:00+05:30,,-1185.0,-207.0
2018-10-10 15:35:00+05:30,7723.0,,
2018-10-11 15:35:00+05:30,,,
2018-10-12 15:35:00+05:30,7447.0,,
2018-10-15 15:35:00+05:30,7488.0,,
2018-10-16 15:35:00+05:30,7476.0,,
2018-10-17 15:35:00+05:30,7473.0,,
2018-10-19 15:35:00+05:30,7468.0,-1300.0,
2018-10-22 15:35:00+05:30,7239.0,,
2018-10-23 15:35:00+05:30,7284.0,-1259.0,-223.0
2018-10-24 15:35:00+05:30,7489.0,-1309.0,-235.0
2018-10-25 15:35:00+05:30,,-1255.0,-225.0
2018-10-26 15:35:00+05:30,-7312.0,-1279.0,
2018-10-29 15:35:00+05:30,,,
2018-10-30 15:35:00+05:30,,,219.0
2018-10-31 15:35:00+05:30,,12.0,219.0
2018-11-01 15:35:00+05:30,,27.0,219.0
2018-11-02 15:35:00+05:30,,,219.0
2018-11-05 15:35:00+05:30,-7258.0,1160.0,216.0
2018-11-06 15:35:00+05:30,-7679.0,,221.0
2018-11-07 15:35:00+05:30,-7690.0,,220.0
2018-11-09 15:35:00+05:30,,,217.0
